,Allianz,BASF,Bayer,Beiersdorf,BMW,Continental,Siemens,Merck,Daimler,VW
2021-01-15,202.15,67.29,52.25,92.5,69.41,118.2,119.78,148.9,56.26,151.88
2021-01-14,203.2,68.1,52.69,92.14,69.78,121.2,122.34,149.7,57.81,151.98
2021-01-13,201.1,68.03,52.6,93.1,69.12,119.5,122.82,147.05,57.23,144.8
2021-01-12,203.15,67.9,50.34,92.7,69.84,120.05,124.04,146.2,58.13,145.76
2021-01-11,203.3,67.55,50.99,93.86,69.3,116.3,123.98,144.9,57.15,144.9
2021-01-08,205.75,68.58,51.5,94.08,70.49,119.1,124,142.75,57.69,146.46
2021-01-07,205.1,68.41,52.32,93.4,71.02,117.4,124.3,143.6,57.79,148.2
2021-01-06,206.8,67.37,51.43,94,70.99,115.7,121.88,142.45,56.43,147.46
2021-01-05,196.58,64.4,49.475,94.2,70.86,116.95,117.38,143.15,56.89,147.24
2021-01-04,198.62,64.89,49.29,95.14,71.86,117.9,117.62,143.75,56.9,148.48
2020-12-30,200.7,64.72,48.155,94.44,72.23,121.25,117.52,140.35,57.79,152.42
2020-12-29,201.95,65.07,48.54,95.4,73.16,122.75,117.4,138.25,58.19,151.9
2020-12-28,202.6,65.22,48.58,94.84,73.49,123.05,119.3,137.55,58.65,152.76
2020-12-23,199.88,64.69,48.18,93.18,73.38,121.65,117,136.4,58.52,152.46
2020-12-22,195.22,63.85,48.24,93.08,72.1,118.4,114.34,136.3,56.64,148.9
2020-12-21,193.64,63.53,46.815,91,71.97,116.95,113.66,135.5,56.39,149
2020-12-18,199.98,64.52,49.05,93.22,74.19,119.35,117.82,136.9,58.67,153.38
2020-12-17,200.85,64.9,49.085,93.7,73.78,117.3,116.6,139.1,58.54,154.44
2020-12-16,198.6,64.2,49.3,94.82,74.43,116.45,115.66,137,58.77,155.6
2020-12-15,193.84,64.76,47.125,92.06,73.86,113.2,114.68,134.2,57.98,150.32
2020-12-14,191.98,63.9,47.16,92.24,71.91,110,112.7,135.95,56.37,139.68
2020-12-11,191.16,63.11,46.445,91.36,70.51,110.15,112.68,133.25,55.51,140.1
2020-12-10,197.12,64.04,47.42,91.14,71.36,112,113.52,134.8,56.32,144.4
2020-12-09,197.26,63.44,47.44,91.4,73.13,114.05,113.9,135.55,57.52,147.44
2020-12-08,195.22,61.62,47.19,91.66,73.01,114.05,114.4,136.65,57.5,144.12
